Longitude,Latitude,depth
109.132544,18.332292,4.2
109.129611,18.333133,4.1
109.138133,18.329484,3.44
109.135955,18.331839,3.98
109.14152,18.327617,2.12
109.139062,18.329421,3.65
109.140494,18.328865,2.66
109.134231,18.326327,4.08
109.1451,18.321086,3.06
109.136587,18.332591,3.75
109.142005,18.325623,2.53
109.138202,18.327504,3.88
109.14218,18.333139,2.02
109.142955,18.32587,2.09
109.137926,18.332029,3.37
109.14248,18.324334,2.5
109.140117,18.327248,2.87
109.142988,18.330595,1.89
109.143294,18.331941,1.85
109.141623,18.326345,2.2
109.135654,18.328153,4.11
109.13696,18.329133,4.09
109.145856,18.322025,0.64
109.135864,18.324991,4.2
109.145587,18.321916,0.67
109.140833,18.32355,3.29
109.134504,18.329789,4.03
109.135822,18.330063,3.94
109.138397,18.326812,4.26
109.139804,18.325416,3.82
109.142664,18.322627,2.3
109.140398,18.33005,2.57
109.140962,18.331062,2.31
109.13829,18.326981,4.16
109.142988,18.313515,1.22
109.143311,18.332296,1.94
109.14171,18.32869,1.76
109.139243,18.328331,3.58
109.135076,18.326169,4.26
109.135355,18.330117,3.92
109.139059,18.330039,3.41
109.135827,18.327725,4.16
109.138584,18.330754,3.54
109.141067,18.332615,1.84
109.141046,18.328332,2.74
109.140371,18.32356,3.95
109.139918,18.333103,2.48
109.136681,18.328582,4.02
109.142666,18.324878,3.63
109.136786,18.330135,4.08
109.138679,18.327318,3.81
109.141346,18.322926,3.1
109.135015,18.326341,4.26
109.135447,18.320459,3.97
109.142955,18.326444,1.76
109.140841,18.333128,2.04
109.134031,18.328783,4.22
109.141151,18.329885,2.31
109.145802,18.322683,0.96
109.145577,18.321474,0.48
109.141518,18.325366,2.29
109.143236,18.328671,2.17
109.132435,18.332504,4.18
109.143221,18.314062,2.25
109.140933,18.322896,3.77
109.141493,18.330219,2.15
109.138938,18.330956,3.17
109.142665,18.327172,2.07
109.143608,18.321814,1.27
109.136612,18.327165,4.05
109.142076,18.314507,3.46
109.13601,18.332858,3.48
109.13812,18.327939,3.88
109.136788,18.327266,4.03
109.143384,18.329123,2.03
109.138187,18.327679,3.92
109.144452,18.322803,1.36
109.136489,18.330951,3.98
109.133743,18.331763,3.97
109.14254,18.328708,2.06
109.137337,18.326777,4.24
109.145314,18.323,1.07
109.142555,18.331931,2.08
109.139233,18.327889,3.56
109.139146,18.330663,3.26
109.142254,18.3237,1.89
109.136598,18.331313,3.88
109.135926,18.32707,4.1
109.135559,18.332162,3.98
109.138301,18.331395,3.46
109.139254,18.332745,2.61
109.139818,18.325814,3.75
109.138677,18.325067,4.13
109.140069,18.324994,3.63
109.142094,18.324526,2.65
109.145188,18.32171,0.63
109.136884,18.331201,3.85
109.140267,18.329952,2.41
109.140378,18.327444,2.78
109.141402,18.323372,2.77
109.145609,18.321079,0.17
109.145482,18.320938,2.81
109.136899,18.331026,3.84
109.136767,18.332649,3.7
109.14224,18.328421,1.98
109.143581,18.326137,1.97
109.141606,18.314604,4.22
109.140017,18.333022,2.44
109.143506,18.327058,1.87
109.138584,18.331327,3.39
109.141138,18.322646,3.96
109.143229,18.328759,2.16
109.138467,18.332201,3.18
109.1367,18.331761,3.81
109.134915,18.328143,4.24
109.141316,18.326146,1.94
109.135079,18.326698,4.17
109.141143,18.329972,2.36
109.142172,18.324709,4.18
109.142547,18.32862,2.16
109.136893,18.329393,3.86
109.143009,18.314399,2.83
109.143119,18.324426,3.26
109.135549,18.331146,3.93
109.143201,18.32399,1.87
109.141499,18.327307,2.4
109.141802,18.323004,2.68
109.14492,18.321028,3.83
109.127437,18.330324,5.34
109.13961,18.319841,4.78
109.128177,18.332585,4.47
109.124853,18.331412,5.51
109.127425,18.327057,5.41
109.132333,18.32751,4.42
109.132336,18.32804,4.55
109.135815,18.324458,5.12
109.136122,18.325805,4.33
109.132161,18.329615,4.72
109.134234,18.32743,4.42
109.126748,18.325727,5.27
109.141031,18.31315,5.48
109.128745,18.328435,5.23
109.13839,18.326326,4.36
109.125527,18.332212,5.32
109.130534,18.332584,4.32
109.138313,18.324423,4.8
109.130337,18.331598,4.7
109.126665,18.323338,5.47
109.134495,18.327626,4.49
109.131599,18.325161,5.01
109.134309,18.325361,4.88
109.126398,18.326054,5.43
109.126568,18.325096,5.21
109.127804,18.325806,5.31
109.129967,18.325348,5.22
109.131496,18.330978,4.62
109.132051,18.32643,4.38
109.142073,18.324789,4.95
109.123166,18.332831,5.23
109.131764,18.326541,4.47
109.135097,18.325905,4.37
109.133264,18.329123,4.49
109.141306,18.314317,4.91
109.131476,18.324975,4.95
109.135639,18.324357,5.19
109.124037,18.331219,5.52
109.132602,18.325897,4.71
109.140194,18.323459,4.28
109.129399,18.323806,5.33
